age,annual_income,current_savings,target_goal_amount,investment_horizon_years,number_of_dependents,investment_experience_level,goal_success
22,1287616,216898,1543392,2,0,Beginner,Unlikely
61,358744,698678,1781208,4,0,Advanced,Unlikely
57,247674,254216,1522405,8,0,Intermediate,Unlikely
70,876223,1608302,9103047,-5,0,Intermediate,Unlikely
70,509574,1859367,8912894,-5,2,Intermediate,Unlikely
54,1490738,4601187,23890204,11,2,Advanced,Unlikely
52,2042647,1441012,6132965,13,3,Advanced,Likely
61,1342299,1727766,12300547,4,0,Beginner,Unlikely
49,970842,2322806,8339916,6,0,Intermediate,Unlikely
20,3367248,2981476,5031773,19,2,Beginner,Likely
53,1450225,3099374,11586282,12,0,Beginner,Moderate
35,588149,1315044,2592645,16,0,Beginner,Likely
60,1064543,2616921,20513844,5,1,Beginner,Unlikely
34,1277362,3273528,25491291,17,0,Intermediate,Moderate
34,367938,119242,475347,1,2,Intermediate,Unlikely
19,1141134,173765,728652,9,1,Advanced,Likely
54,816021,2577166,12321347,11,2,Advanced,Unlikely
32,1225362,1342233,4558755,11,1,Intermediate,Likely
52,1063338,921919,5853224,13,0,Intermediate,Likely
59,2799688,1943252,8033234,6,0,Beginner,Moderate
28,1083203,924528,3450743,17,1,Intermediate,Likely
61,883320,1344033,4925586,4,1,Advanced,Unlikely
67,1198496,4114049,20910068,-2,0,Intermediate,Unlikely
62,2960162,9935147,43443359,3,2,Intermediate,Unlikely
32,1114465,1973792,12093491,17,2,Intermediate,Likely
35,445934,1245590,6423750,16,1,Intermediate,Likely
39,213327,651082,3511895,5,0,Intermediate,Unlikely
49,987086,2596419,5672669,16,2,Intermediate,Likely
31,345558,214775,663931,17,1,Intermediate,Likely
40,4859892,9142602,45344606,1,1,Advanced,Unlikely
67,645558,490930,3772214,-2,0,Advanced,Unlikely
19,1441385,2068480,9231001,9,0,Beginner,Moderate
25,3001921,2325228,13825204,6,1,Beginner,Unlikely
30,2866119,2190105,8191786,9,1,Intermediate,Moderate
20,268892,297776,798752,14,2,Beginner,Moderate
36,1359672,2148367,7469256,9,3,Intermediate,Moderate
35,629959,1072584,1698352,9,0,Beginner,Moderate
29,4732893,8506573,42824438,1,2,Beginner,Unlikely
21,1019431,476626,1196834,11,0,Beginner,Likely
32,1118114,2391339,14442893,1,0,Beginner,Unlikely
40,935762,1801450,11834747,6,3,Intermediate,Unlikely
50,1411887,4096557,21508329,6,1,Advanced,Unlikely
