age,annual_income,current_savings,investment_horizon_years,number_of_dependents,investment_experience_level,risk_profile
56,419417,857876,7,0,Intermediate,Moderate
69,1354760,2064122,-4,0,Beginner,Low
46,459535,616684,18,2,Intermediate,Moderate
32,4064302,5779517,3,0,Intermediate,High
60,1312027,1920112,5,0,Advanced,Moderate
25,1034725,457164,18,0,Intermediate,High
38,1477313,1342474,19,2,Advanced,High
56,1165528,1049246,8,2,Intermediate,Low
36,1170136,1003953,18,1,Advanced,High
40,256418,124880,12,2,Intermediate,Low
28,595094,218599,12,3,Beginner,Moderate
28,663697,983477,4,3,Advanced,High
41,4949727,3838085,11,2,Advanced,High
70,1419509,5185839,-5,1,Beginner,Low
53,542568,1719438,12,1,Advanced,High
57,3857595,6491807,8,0,Intermediate,Moderate
41,443543,589007,3,0,Beginner,Moderate
20,598648,290925,10,0,Beginner,Moderate
39,4908991,3055499,19,4,Advanced,High
70,1330649,3897626,-5,0,Intermediate,Low
19,678175,675211,4,0,Intermediate,High
41,934949,1666311,15,2,Intermediate,Moderate
61,1379335,1301393,4,1,Intermediate,Moderate
47,481008,911853,4,1,Advanced,Moderate
55,709803,1638244,10,1,Beginner,Moderate
19,913423,772082,5,0,Advanced,High
38,1567989,802814,9,3,Beginner,Moderate
50,4624811,10383968,12,1,Intermediate,High
29,1272304,1484445,18,0,Beginner,High
39,992274,2066739,6,4,Beginner,Low
61,504155,561479,4,0,Beginner,Low
42,573368,315631,19,2,Advanced,High
66,851902,2847484,-1,1,Intermediate,Low
44,857235,571325,5,0,Intermediate,Moderate
59,1034386,1770255,5,1,Beginner,Moderate
45,1236209,2973169,17,0,Intermediate,High
33,4975631,3926521,20,2,Intermediate,High
32,746638,766577,14,0,Beginner,Moderate
64,907922,2365514,1,0,Intermediate,Low
68,345375,985391,-3,0,Advanced,Low
61,1253241,3035330,4,2,Intermediate,Low
69,4603092,4139271,-4,0,Advanced,Low
20,273518,267613,13,0,Beginner,Moderate
54,1242285,3337252,11,1,Intermediate,Moderate
68,4683677,4846024,-3,0,Intermediate,Low
24,709166,799645,16,0,Beginner,Moderate
38,1171553,1566840,18,3,Advanced,High
26,280953,77648,18,0,Intermediate,High
56,997026,2496273,9,2,Beginner,Low
35,714127,825830,4,1,Intermediate,Moderate
21,473447,162390,14,0,Beginner,Moderate
42,961237,758679,12,0,Intermediate,High
31,426901,633753,7,1,Intermediate,High
67,1071188,4109833,-2,0,Intermediate,Low
26,3928946,1859113,15,1,Intermediate,High
